LocationID,Borough,Zone,service_zone,Latitude,Longitude
1,EWR,Newark Airport,EWR,,
2,Queens,Jamaica Bay,Boro Zone,40.6039936,-73.8354124
3,Bronx,Allerton/Pelham Gardens,Boro Zone,,
4,Manhattan,Alphabet City,Yellow Zone,40.7251022,-73.9795833
5,Staten Island,Arden Heights,Boro Zone,40.563699850000006,-74.1916031653169
6,Staten Island,Arrochar/Fort Wadsworth,Boro Zone,,
7,Queens,Astoria,Boro Zone,40.7720145,-73.9302673
8,Queens,Astoria Park,Boro Zone,40.7788277,-73.92265804019786
9,Queens,Auburndale,Boro Zone,40.7614516,-73.7897239
10,Queens,Baisley Park,Boro Zone,40.67592055,-73.78496487588887
11,Brooklyn,Bath Beach,Boro Zone,40.6018495,-74.000501
12,Manhattan,Battery Park,Yellow Zone,40.702786,-74.01577307510607
13,Manhattan,Battery Park City,Yellow Zone,40.7110166,-74.0169369
14,Brooklyn,Bay Ridge,Boro Zone,40.6320062,-74.0232101
15,Queens,Bay Terrace/Fort Totten,Boro Zone,,
16,Queens,Bayside,Boro Zone,40.7684351,-73.7770774
17,Brooklyn,Bedford,Boro Zone,40.7187387,-73.9569017
18,Bronx,Bedford Park,Boro Zone,40.8700999,-73.8856912
19,Queens,Bellerose,Boro Zone,40.7327778,-73.7177778
20,Bronx,Belmont,Boro Zone,40.8552778,-73.8863889
21,Brooklyn,Bensonhurst East,Boro Zone,,
22,Brooklyn,Bensonhurst West,Boro Zone,,
23,Staten Island,Bloomfield/Emerson Hill,Boro Zone,,
24,Manhattan,Bloomingdale,Yellow Zone,40.7997764,-73.9677716
25,Brooklyn,Boerum Hill,Boro Zone,40.68562615,-73.98417065807277
26,Brooklyn,Borough Park,Boro Zone,40.633993,-73.9968059
27,Queens,Breezy Point/Fort Tilden/Riis Beach,Boro Zone,,
28,Queens,Briarwood/Jamaica Hills,Boro Zone,,
29,Brooklyn,Brighton Beach,Boro Zone,40.57964365,-73.96111022551311
30,Queens,Broad Channel,Boro Zone,40.6064008,-73.81901879728136
31,Bronx,Bronx Park,Boro Zone,40.8588468,-73.87590377196466
32,Bronx,Bronxdale,Boro Zone,40.8506558,-73.8665241
33,Brooklyn,Brooklyn Heights,Boro Zone,40.696084850000005,-73.9950278391265
34,Brooklyn,Brooklyn Navy Yard,Boro Zone,40.6997716,-73.9753359
35,Brooklyn,Brownsville,Boro Zone,40.665306,-73.9124755
36,Brooklyn,Bushwick North,Boro Zone,,
